taxon_key,taxon_name,common_name,genus,species
604464,Gnathanodon speciosus,Golden trevally,Gnathanodon,speciosus
604465,Diagramma pictum,Painted sweetlips,Diagramma,pictum
604493,Sphyraena obtusata,Obtuse barracuda,Sphyraena,obtusata
604544,Sillago sihama,Silver sillago,Sillago,sihama
604559,Nemipterus japonicus,Japanese threadfin bream,Nemipterus,japonicus
604642,Galeorhinus galeus,Tope shark,Galeorhinus,galeus
604722,Callorhinchus milii,Ghost shark,Callorhinchus,milii
604824,Otolithes ruber,Tigertoothed croaker,Otolithes,ruber
604826,Plectropomus leopardus,Leopard coralgrouper,Plectropomus,leopardus
604827,Sphyraena jello,Pickhandle barracuda,Sphyraena,jello
604964,Hoplostethus mediterraneus mediterraneus,Mediterranean slimehead,Hoplostethus,mediterraneus mediterraneus
605048,Arripis trutta,Australian salmon,Arripis,trutta
605348,Epinephelus fasciatus,Blacktip grouper,Epinephelus,fasciatus
605353,Epinephelus morrhua,Comet grouper,Epinephelus,morrhua
605354,Variola louti,Yellow-edged lyretail,Variola,louti
605367,Epinephelus areolatus,Areolate grouper,Epinephelus,areolatus
605368,Rhabdosargus sarba,Goldlined seabream,Rhabdosargus,sarba
605537,Bolbometopon muricatum,Green humphead parrotfish,Bolbometopon,muricatum
605548,Scarus ghobban,Bluebarred parrotfish,Scarus,ghobban
605659,Moolgarda seheli,Bluespot mullet,Moolgarda,seheli
605805,Kyphosus cinerascens,Blue seachub,Kyphosus,cinerascens
605933,Mustelus lenticulatus,Spotted estuary smooth-hound,Mustelus,lenticulatus
605983,Mulloidichthys flavolineatus,Yellowstripe goatfish,Mulloidichthys,flavolineatus
606006,Pomadasys kaakan,Javelin grunter,Pomadasys,kaakan
606082,Plectropomus areolatus,Squaretail coralgrouper,Plectropomus,areolatus
606358,Chirocentrus dorab,Dorab wolfherring,Chirocentrus,dorab
606396,Cephalopholis argus,Peacock hind,Cephalopholis,argus
606426,Pagrus auratus,Silver seabream,Pagrus,auratus
606440,Epinephelus coeruleopunctatus,Whitespotted grouper,Epinephelus,coeruleopunctatus
606444,Cephalopholis boenak,Chocolate hind,Cephalopholis,boenak
606450,Cephalopholis miniata,Coral hind,Cephalopholis,miniata
606465,Epinephelus coioides,Orangespotted grouper,Epinephelus,coioides
606473,Epinephelus polyphekadion,Camouflage grouper,Epinephelus,polyphekadion
606479,Saurida tumbil,Greater lizardfish,Saurida,tumbil
606507,Sargocentron spiniferum,Sabre squirrelfish,Sargocentron,spiniferum
606957,Diastobranchus capensis,Basketwork eel,Diastobranchus,capensis
607137,Macrourus carinatus,Ridge scaled rattail,Macrourus,carinatus
607151,Pseudocyttus maculatus,Smooth oreo dory,Pseudocyttus,maculatus
607354,Epinephelus multinotatus,White-blotched grouper,Epinephelus,multinotatus
608173,Girella tricuspidata,Parore,Girella,tricuspidata
608483,Lepidorhynchus denticulatus,Thorntooth grenadier,Lepidorhynchus,denticulatus
608490,Rexea solandri,Silver gemfish,Rexea,solandri
609146,Neocyttus rhomboidalis,Spiky oreo,Neocyttus,rhomboidalis
610106,Nemadactylus macropterus,Tarakihi,Nemadactylus,macropterus
610220,Netuma thalassina,Giant catfish,Netuma,thalassina
610676,Cyttus traversi,King dory,Cyttus,traversi
612005,Paratrachichthys trailli,Sandpaper fish,Paratrachichthys,trailli
612354,Paristiopterus labiosus,Giant boarfish,Paristiopterus,labiosus
612357,Pentaceros decacanthus,Bigspined boarfish,Pentaceros,decacanthus
612918,Seriolella brama,Common warehou,Seriolella,brama
612919,Seriolella caerulea,White warehou,Seriolella,caerulea
612920,Kathetostoma giganteum,Giant stargazer,Kathetostoma,giganteum
612922,Seriolella punctata,Silver warehou,Seriolella,punctata
612962,Allocyttus niger,Black oreo,Allocyttus,niger
613135,Hyporhamphus ihi,Halfbeak,Hyporhamphus,ihi
613139,Meuschenia scaber,Velvet leatherjacket,Meuschenia,scaber
613146,Hydrolagus novaezealandiae,Dark ghost shark,Hydrolagus,novaezealandiae
614129,Centroberyx affinis,Redfish,Centroberyx,affinis
614242,Centriscops humerosus,Banded yellowfish,Centriscops,humerosus
614290,Thunnus orientalis,Pacific bluefin tuna,Thunnus,orientalis
614354,Lepidoperca pulchella,Orange perch,Lepidoperca,pulchella
